snapshot_row_id,family,start_seconds,start_utc,end_seconds,end_utc,read_seconds,read_utc,write_seconds,write_utc,hfStart_seconds,hfStart_utc,hfEnd_seconds,hfEnd_utc,observedStop,hf_before_read,read_to_hf_hours
27,HPIM,172852.228,2026-07-08T00:00:52.228000+00:00,276264.085,2026-07-09T04:44:24.085000+00:00,260380.888,2026-07-09T00:19:40.888000+00:00,260911.055,2026-07-09T00:28:31.055000+00:00,,,,,False,False,
28,HPIM,163965.185,2026-07-07T21:32:45.185000+00:00,277490.87,2026-07-09T05:04:50.870000+00:00,259819.842,2026-07-09T00:10:19.842000+00:00,259989.602,2026-07-09T00:13:09.602000+00:00,,,,,False,False,
29,HPIM,175020.768,2026-07-08T00:37:00.768000+00:00,279476.0,2026-07-09T05:37:56+00:00,263836.176,2026-07-09T01:17:16.176000+00:00,263921.825,2026-07-09T01:18:41.825000+00:00,,,,,False,False,
30,HPIM,184671.251,2026-07-08T03:17:51.251000+00:00,285419.0,2026-07-09T07:16:59+00:00,264406.481,2026-07-09T01:26:46.481000+00:00,270206.864,2026-07-09T03:03:26.864000+00:00,,,,,False,False,
31,HPIM,163952.065,2026-07-07T21:32:32.065000+00:00,287626.0,2026-07-09T07:53:46+00:00,283586.578,2026-07-09T06:46:26.578000+00:00,283757.324,2026-07-09T06:49:17.324000+00:00,,,,,False,False,
32,HPIM,165414.893,2026-07-07T21:56:54.893000+00:00,289304.0,2026-07-09T08:21:44+00:00,279665.194,2026-07-09T05:41:05.194000+00:00,279924.347,2026-07-09T05:45:24.347000+00:00,,,,,False,False,
33,HPIM,187819.922,2026-07-08T04:10:19.922000+00:00,289779.0,2026-07-09T08:29:39+00:00,274187.088,2026-07-09T04:09:47.088000+00:00,277424.984,2026-07-09T05:03:44.984000+00:00,,,,,False,False,
34,HPIM,164457.248,2026-07-07T21:40:57.248000+00:00,294522.907,2026-07-09T09:48:42.907000+00:00,284093.875,2026-07-09T06:54:53.875000+00:00,284466.323,2026-07-09T07:01:06.323000+00:00,,,,,False,False,
35,HPIM,163757.457,2026-07-07T21:29:17.457000+00:00,296366.0,2026-07-09T10:19:26+00:00,271481.231,2026-07-09T03:24:41.231000+00:00,271632.164,2026-07-09T03:27:12.164000+00:00,295488.98,2026-07-09T10:04:48.980000+00:00,296366.0,2026-07-09T10:19:26+00:00,False,False,6.668819166666654
36,HPIM,168951.429,2026-07-07T22:55:51.429000+00:00,296510.792,2026-07-09T10:21:50.792000+00:00,268701.418,2026-07-09T02:38:21.418000+00:00,268872.643,2026-07-09T02:41:12.643000+00:00,,,,,False,False,
37,HPIM,164397.157,2026-07-07T21:39:57.157000+00:00,301445.0,2026-07-09T11:44:05+00:00,263487.907,2026-07-09T01:11:27.907000+00:00,263628.522,2026-07-09T01:13:48.522000+00:00,,,,,False,False,
38,HPIM,168985.977,2026-07-07T22:56:25.977000+00:00,301675.892,2026-07-09T11:47:55.892000+00:00,261811.304,2026-07-09T00:43:31.304000+00:00,261880.122,2026-07-09T00:44:40.122000+00:00,,,,,False,False,
39,HPIM,164201.304,2026-07-07T21:36:41.304000+00:00,306274.0,2026-07-09T13:04:34+00:00,291221.163,2026-07-09T08:53:41.163000+00:00,291320.972,2026-07-09T08:55:20.972000+00:00,,,,,False,False,
40,HPIM,171435.938,2026-07-07T23:37:15.938000+00:00,308267.0,2026-07-09T13:37:47+00:00,282554.406,2026-07-09T06:29:14.406000+00:00,282787.62,2026-07-09T06:33:07.620000+00:00,296437.302,2026-07-09T10:20:37.302000+00:00,308267.0,2026-07-09T13:37:47+00:00,False,False,3.8563600000000022
41,HPIM,169864.921,2026-07-07T23:11:04.921000+00:00,309066.22,2026-07-09T13:51:06.220000+00:00,269688.987,2026-07-09T02:54:48.987000+00:00,269823.958,2026-07-09T02:57:03.958000+00:00,,,,,False,False,
42,HPIM,169693.846,2026-07-07T23:08:13.846000+00:00,309067.636,2026-07-09T13:51:07.636000+00:00,301206.038,2026-07-09T11:40:06.038000+00:00,301647.947,2026-07-09T11:47:27.947000+00:00,,,,,False,False,
43,HPIM,186940.239,2026-07-08T03:55:40.239000+00:00,310609.0,2026-07-09T14:16:49+00:00,283098.331,2026-07-09T06:38:18.331000+00:00,283417.892,2026-07-09T06:43:37.892000+00:00,,,,,False,False,
44,HPIM,169684.028,2026-07-07T23:08:04.028000+00:00,311723.509,2026-07-09T14:35:23.509000+00:00,277447.195,2026-07-09T05:04:07.195000+00:00,277689.44,2026-07-09T05:08:09.440000+00:00,,,,,False,False,
45,HPIM,162860.003,2026-07-07T21:14:20.003000+00:00,316885.605,2026-07-09T16:01:25.605000+00:00,289741.386,2026-07-09T08:29:01.386000+00:00,289872.264,2026-07-09T08:31:12.264000+00:00,,,,,False,False,
46,HPIM,163755.221,2026-07-07T21:29:15.221000+00:00,318353.0,2026-07-09T16:25:53+00:00,283944.781,2026-07-09T06:52:24.781000+00:00,284095.733,2026-07-09T06:54:55.733000+00:00,,,,,False,False,
