bin_hours,cutoff,model,test_bins,mae,poisson_deviance
1,48,volume_baseline,12,52.88875740494126,98.3448412942651
1,48,plus_composition,12,55.15740782187913,103.05998522650759
1,48,persistence,12,1.0,7.049346914544791
1,48,training_mean,12,1.3900709219858156,2.057900225170195
1,60,volume_baseline,12,0.6386335276023787,1.1858547705831872
1,60,plus_composition,12,1.0816087370598269,2.2550616627739903
1,60,persistence,12,0.75,9.758287397384814
1,60,training_mean,12,1.5819209039548021,2.933684944751924
1,72,volume_baseline,12,25.54564667103809,64.83302620355185
1,72,plus_composition,12,27.98993499654144,91.97431032291654
1,72,persistence,12,16.166666666666668,23.08730755232457
1,72,training_mean,12,29.9330985915493,162.67338360318436
1,84,volume_baseline,12,6.2931003419998435,5.789389136526936
1,84,plus_composition,12,12.078338677006492,172.90258003706728
1,84,persistence,12,7.166666666666667,3.780413225275533
1,84,training_mean,12,9.155622489959839,13.482444689499063
1,96,volume_baseline,12,2.512472190633719,3.085786276888122
1,96,plus_composition,12,2.1304649497583363,2.5255226962489794
1,96,persistence,12,1.3333333333333333,4.423077303268125
1,96,training_mean,12,5.656140350877192,8.61210666387334
1,108,volume_baseline,12,0.363321298476781,0.663283942446543
1,108,plus_composition,12,0.30775216287459006,0.6086968079974542
1,108,persistence,12,0.3333333333333333,6.140226931317457
1,108,training_mean,12,6.188473520249222,11.760525719262361
1,120,volume_baseline,12,0.541823020641169,1.0102427896510209
1,120,plus_composition,12,0.4174178902598158,0.7970205089035711
1,120,persistence,12,0.16666666666666666,3.070113473992062
1,120,training_mean,12,5.564425770308123,10.546882819038936
1,132,volume_baseline,12,0.07173284527857825,0.1434656905571565
1,132,plus_composition,12,0.045138985264176784,0.09027797052835357
1,132,persistence,12,0.0,1.9999999999999997e-08
1,132,training_mean,12,5.221374045801526,10.442748091603052
2,48,volume_baseline,6,510.4808568749436,998.258046731415
2,48,plus_composition,6,450.9523435873937,881.0588160357516
2,48,persistence,6,1.6666666666666667,7.921795226107836
2,48,training_mean,6,2.8405797101449277,3.017615279890434
2,60,volume_baseline,6,1.7521327027289013,2.5361732680844007
2,60,plus_composition,6,2.259769378137353,3.677951821598669
2,60,persistence,6,1.8333333333333333,14.427248573323103
2,60,training_mean,6,3.1954022988505746,5.0512986629962855
2,72,volume_baseline,6,60.873110317579574,375.14485181292815
2,72,plus_composition,6,61.531363915254495,514.9207238445327
2,72,persistence,6,31.833333333333332,71.37852867884381
2,72,training_mean,6,59.62380952380952,315.82240371151073
2,84,volume_baseline,6,11.108698460679387,13.240577974434414
2,84,plus_composition,6,21.95229029477838,224.5389012924488
2,84,persistence,6,14.666666666666666,6.989771598015429
2,84,training_mean,6,17.239837398373986,25.034974262295805
2,96,volume_baseline,6,16.43215460304704,25.328104393096496
2,96,plus_composition,6,55.39829923382916,99.40410784159614
2,96,persistence,6,3.5,4.574572189428239
2,96,training_mean,6,11.460992907801419,16.912909501521632
2,108,volume_baseline,6,0.44426539191796444,0.7312081658574496
2,108,plus_composition,6,0.4164168499844785,0.6316959459253414
2,108,persistence,6,0.3333333333333333,6.1402269279841235
2,108,training_mean,6,12.496855345911952,23.29251010207855
2,120,volume_baseline,6,1.2714801934292228,2.4068453060848123
2,120,plus_composition,6,0.8071472167285716,1.4354505588712
2,120,persistence,6,0.3333333333333333,6.1402269279841235
2,120,training_mean,6,11.22598870056497,20.820315925171446
2,132,volume_baseline,6,0.16876405231121952,0.33752810462243904
2,132,plus_composition,6,0.06549336499936163,0.13098672999872327
2,132,persistence,6,0.0,1.9999999999999997e-08
2,132,training_mean,6,10.523076923076923,21.046153846153846
6,48,volume_baseline,2,413.9276258477302,771.9606159867996
6,48,plus_composition,2,463.01285848029204,869.4424534388164
6,48,persistence,2,10.0,13.46379908813057
6,48,training_mean,2,7.0,6.7258822521727835
6,60,volume_baseline,2,9.306676186715702,13.759163883619069
6,60,plus_composition,2,6.0800338074141305,7.781921762062016
6,60,persistence,2,4.5,5.5905038155231495
6,60,training_mean,2,10.444444444444445,13.57638043529317
6,72,volume_baseline,2,185.96024141874938,1826.352553461537
6,72,plus_composition,2,178.18049839047907,809.5628623615318
6,72,persistence,2,178.5,834.9338982221886
6,72,training_mean,2,175.95454545454544,918.4762446439329
6,84,volume_baseline,2,265.19841246339166,317.3524873109895
6,84,plus_composition,2,87.49098446790626,2101.3253515353854
6,84,persistence,2,152.5,129.84109606237072
6,84,training_mean,2,49.88461538461539,61.12926566011207
6,96,volume_baseline,2,418.14852205986426,781.720585364863
6,96,plus_composition,2,1888.1081905599967,3709.3751903940406
6,96,persistence,2,25.0,27.55662208401227
6,96,training_mean,2,36.266666666666666,47.25367940128132
6,108,volume_baseline,2,0.7866264764549142,0.5547999921429978
6,108,plus_composition,2,0.9098222098890942,1.044982858155246
6,108,persistence,2,2.0,2.613705638880109
6,108,training_mean,2,39.0,72.00853545289202
6,120,volume_baseline,2,7.231470557692008,13.977990840677467
6,120,plus_composition,2,50.097545737950455,98.01174286029313
6,120,persistence,2,2.0,38.22765585902462
6,120,training_mean,2,34.89473684210526,64.01458668797636
6,132,volume_baseline,2,0.18873765921255442,0.37747531842510884
6,132,plus_composition,2,0.4982151858147598,0.9964303716295196
6,132,persistence,2,0.0,2e-08
6,132,training_mean,2,32.57142857142857,65.14285714285714
