group,read_day,horizon_hours,per_timestamp_error_minutes,nominal_risk_rows,guaranteed_recorded_onsets,possible_recorded_or_early_ended_onsets,lower,upper,ambiguous_ordering_rows,read_date_boundary_ambiguous
HPIM,13,6,0,2,0,1,0.0,0.5,0,0
HPIM,13,6,5,2,0,1,0.0,0.5,0,0
HPIM,13,6,30,2,0,1,0.0,0.5,0,0
HPIM,13,6,120,2,0,1,0.0,0.5,0,0
HPIM,13,24,0,2,0,2,0.0,1.0,0,0
HPIM,13,24,5,2,0,2,0.0,1.0,0,0
HPIM,13,24,30,2,0,2,0.0,1.0,0,0
HPIM,13,24,120,2,0,2,0.0,1.0,0,0
Sol,10,1,0,14,0,2,0.0,0.14285714285714285,0,0
Sol,10,1,5,14,0,2,0.0,0.14285714285714285,0,0
Sol,10,1,30,14,0,3,0.0,0.21428571428571427,0,3
Sol,10,1,120,14,0,11,0.0,0.7857142857142857,0,13
Sol,10,6,0,14,1,11,0.07142857142857142,0.7857142857142857,0,0
Sol,10,6,5,14,1,11,0.07142857142857142,0.7857142857142857,0,0
Sol,10,6,30,14,1,11,0.07142857142857142,0.7857142857142857,0,3
Sol,10,6,120,14,0,13,0.0,0.9285714285714286,0,13
Sol,10,24,0,14,1,14,0.07142857142857142,1.0,0,0
Sol,10,24,5,14,1,14,0.07142857142857142,1.0,0,0
Sol,10,24,30,14,1,14,0.07142857142857142,1.0,0,3
Sol,10,24,120,14,1,14,0.07142857142857142,1.0,0,13
Sol,11,1,0,124,15,22,0.12096774193548387,0.1774193548387097,0,0
Sol,11,1,5,124,9,31,0.07258064516129033,0.25,5,1
Sol,11,1,30,124,0,67,0.0,0.5403225806451613,15,4
Sol,11,1,120,124,0,112,0.0,0.9032258064516129,32,14
Sol,11,6,0,124,35,116,0.28225806451612906,0.9354838709677419,0,0
Sol,11,6,5,124,30,116,0.24193548387096775,0.9354838709677419,5,1
Sol,11,6,30,124,19,117,0.1532258064516129,0.9435483870967742,15,4
Sol,11,6,120,124,0,121,0.0,0.9758064516129032,32,14
Sol,11,24,0,124,37,124,0.29838709677419356,1.0,0,0
Sol,11,24,5,124,32,124,0.25806451612903225,1.0,5,1
Sol,11,24,30,124,22,124,0.1774193548387097,1.0,15,4
Sol,11,24,120,124,5,124,0.04032258064516129,1.0,32,14
