setting,bin_hours,exclude_automated_files,onset_shift_hours,model,initial_training_bins,very_small_initial_training_sample,test_bins,test_onsets,mae,poisson_deviance
2h_exclude0_shift2,2,False,2,volume_baseline,23,False,48,589,35.72406415197609,89.01280584701622
2h_exclude0_shift2,2,False,2,plus_composition,23,False,48,589,35.83631794625617,116.47244911114717
2h_exclude0_shift2,2,False,2,persistence,23,False,48,589,6.833333333333333,14.734902869724172
2h_exclude0_shift2,2,False,2,training_mean,23,False,48,589,15.863296184977893,50.077634048478046
2h_exclude1_shift-2,2,True,-2,volume_baseline,23,False,48,584,68.22155953839575,152.44566633116855
2h_exclude1_shift-2,2,True,-2,plus_composition,23,False,48,584,58.411964076196064,157.8972054227998
2h_exclude1_shift-2,2,True,-2,persistence,23,False,48,584,6.75,14.688668360469846
2h_exclude1_shift-2,2,True,-2,training_mean,23,False,48,584,16.398743346509104,56.8261585577748
2h_exclude1_shift-1,2,True,-1,volume_baseline,23,False,48,584,99.16753069464691,214.96189010928822
2h_exclude1_shift-1,2,True,-1,plus_composition,23,False,48,584,86.20493810740858,223.60087723506754
2h_exclude1_shift-1,2,True,-1,persistence,23,False,48,584,9.145833333333334,19.21848581723768
2h_exclude1_shift-1,2,True,-1,training_mean,23,False,48,584,16.235306838502787,55.64880867928173
2h_exclude1_shift0,2,True,0,volume_baseline,23,False,48,586,75.45438370786233,176.60763076745593
2h_exclude1_shift0,2,True,0,plus_composition,23,False,48,586,67.12224125738034,202.00379389564088
2h_exclude1_shift0,2,True,0,persistence,23,False,48,586,6.770833333333333,14.696546267710834
2h_exclude1_shift0,2,True,0,training_mean,23,False,48,586,16.075817851066784,53.87477266145234
2h_exclude1_shift1,2,True,1,volume_baseline,23,False,48,587,55.480485957140424,132.43090328175683
2h_exclude1_shift1,2,True,1,plus_composition,23,False,48,587,41.89635735607043,165.01195366004922
2h_exclude1_shift1,2,True,1,persistence,23,False,48,587,9.166666666666666,19.224192224431206
2h_exclude1_shift1,2,True,1,training_mean,23,False,48,587,15.93043416688026,51.505049155300846
2h_exclude1_shift2,2,True,2,volume_baseline,23,False,48,589,36.21405494037805,88.97385525954087
2h_exclude1_shift2,2,True,2,plus_composition,23,False,48,589,35.507703822482036,118.27418996106205
2h_exclude1_shift2,2,True,2,persistence,23,False,48,589,6.833333333333333,14.734902869724172
2h_exclude1_shift2,2,True,2,training_mean,23,False,48,589,15.863296184977893,50.077634048478046
6h_exclude0_shift-2,6,False,-2,volume_baseline,7,True,16,584,166.1223922987146,559.6675733239892
6h_exclude0_shift-2,6,False,-2,plus_composition,7,True,16,584,255.46319983887173,797.27880503502
6h_exclude0_shift-2,6,False,-2,persistence,7,True,16,584,39.8125,96.58388654954516
6h_exclude0_shift-2,6,False,-2,training_mean,7,True,16,584,49.673796233006755,153.7726725094386
6h_exclude0_shift-1,6,False,-1,volume_baseline,7,True,16,584,135.14046173390915,469.43491219906844
6h_exclude0_shift-1,6,False,-1,plus_composition,7,True,16,584,228.84278506658228,744.5070483964325
6h_exclude0_shift-1,6,False,-1,persistence,7,True,16,584,46.0,94.38275861516199
6h_exclude0_shift-1,6,False,-1,training_mean,7,True,16,584,48.38260190102296,155.74075885155722
6h_exclude0_shift0,6,False,0,volume_baseline,7,True,16,586,162.59353908372634,465.7569590198817
6h_exclude0_shift0,6,False,0,plus_composition,7,True,16,586,334.2972686049678,949.6926169477393
6h_exclude0_shift0,6,False,0,persistence,7,True,16,586,46.8125,131.52841009876627
6h_exclude0_shift0,6,False,0,training_mean,7,True,16,586,48.25205467047572,156.04092895956472
6h_exclude0_shift1,6,False,1,volume_baseline,7,True,16,587,298.79115743167773,652.2550187898514
6h_exclude0_shift1,6,False,1,plus_composition,7,True,16,587,345.6963031169626,1002.5914729311464
6h_exclude0_shift1,6,False,1,persistence,7,True,16,587,39.5625,127.77378854100832
6h_exclude0_shift1,6,False,1,training_mean,7,True,16,587,48.24693062785168,140.50641719087747
6h_exclude0_shift2,6,False,2,volume_baseline,7,True,16,589,2803.0239291485113,5547.510674614576
6h_exclude0_shift2,6,False,2,plus_composition,7,True,16,589,300.0085291292857,915.1451813721591
6h_exclude0_shift2,6,False,2,persistence,7,True,16,589,35.0625,114.50965445898461
6h_exclude0_shift2,6,False,2,training_mean,7,True,16,589,47.8447633506844,133.29526031010732
6h_exclude1_shift-2,6,True,-2,volume_baseline,7,True,16,584,163.35910893007494,554.461598299885
6h_exclude1_shift-2,6,True,-2,plus_composition,7,True,16,584,245.63306242496805,783.8478704833664
6h_exclude1_shift-2,6,True,-2,persistence,7,True,16,584,39.8125,96.58388654954516
6h_exclude1_shift-2,6,True,-2,training_mean,7,True,16,584,49.673796233006755,153.7726725094386
6h_exclude1_shift-1,6,True,-1,volume_baseline,7,True,16,584,132.69402369478934,464.550246422441
6h_exclude1_shift-1,6,True,-1,plus_composition,7,True,16,584,218.92130317836143,730.4695002117601
6h_exclude1_shift-1,6,True,-1,persistence,7,True,16,584,46.0,94.38275861516199
6h_exclude1_shift-1,6,True,-1,training_mean,7,True,16,584,48.38260190102296,155.74075885155722
6h_exclude1_shift0,6,True,0,volume_baseline,7,True,16,586,161.04337827877657,462.4523807195768
6h_exclude1_shift0,6,True,0,plus_composition,7,True,16,586,288.6089925603047,863.3258389814946
6h_exclude1_shift0,6,True,0,persistence,7,True,16,586,46.8125,131.52841009876627
6h_exclude1_shift0,6,True,0,training_mean,7,True,16,586,48.25205467047572,156.04092895956472
6h_exclude1_shift1,6,True,1,volume_baseline,7,True,16,587,295.0693929625283,644.8929336870862
6h_exclude1_shift1,6,True,1,plus_composition,7,True,16,587,283.1805921953711,881.8286747521123
6h_exclude1_shift1,6,True,1,persistence,7,True,16,587,39.5625,127.77378854100832
6h_exclude1_shift1,6,True,1,training_mean,7,True,16,587,48.24693062785168,140.50641719087747
6h_exclude1_shift2,6,True,2,volume_baseline,7,True,16,589,2719.8340806733927,5381.727428223436
6h_exclude1_shift2,6,True,2,plus_composition,7,True,16,589,240.5094351279108,799.2117276448154
6h_exclude1_shift2,6,True,2,persistence,7,True,16,589,35.0625,114.50965445898461
6h_exclude1_shift2,6,True,2,training_mean,7,True,16,589,47.8447633506844,133.29526031010732
